Año,Trimestral,Semastral,Anual,Tipo
2010/01/01,0.5,1.3,4.7,venta
2010/01/01,0.5,1.3,4.8,compra
2011/01/01,2.1,4.6,8.0,venta
2011/01/01,2.2,4.7,8.1,compra
2012/01/01,4.7,8.6,14.4,venta
2012/01/01,4.7,8.7,14.6,compra
2013/01/01,12.6,21.0,32.5,venta
2013/01/01,12.7,21.1,32.8,compra
2014/01/01,1.5,5.3,31.3,venta
2014/01/01,1.6,5.4,30.6,compra
2015/01/01,41.0,46.3,55.4,venta
2015/01/01,38.3,43.5,52.5,compra
2016/01/01,3.9,5.9,21.1,venta
2016/01/01,4.0,6.1,21.7,compra
2017/01/01,8.0,12.5,17.4,venta
2017/01/01,7.6,12.2,17.2,compra
2018/01/01,- 8.3,31.3,104.2,venta
2018/01/01,- 8.7,29.6,100.0,compra
2019/01/01,6.8,44.8,63.2,venta
2019/01/01,4.5,39.8,57.6,compra
